Age,Education Level,Gender,Internet Connection,Marital Status,Movie Selector,Num Bathrooms,Num Bedrooms,Num Cars,Num Children,Num TVs,PPV Freq,Prerec Buying Freq,Prerec Format,Prerec Renting Freq,Prerec Viewing Freq,CustomerID,Theater Freq,TV Movie Freq,TV Signal,Home Ownership
31,Bachelor's Degree,Male,Other,Married,Me,1,2,2,1,1,Weekly,Monthly,DVD,Monthly,Weekly,879061,Monthly,Daily,Cable,Rent
26,Master's Degree,Female,Cable Modem,Never Married,Me,1,1,0,0,0,Never,Rarely,DVD,Weekly,Weekly,879072,Weekly,Weekly,Cable,Own
33,Bachelor's Degree,Female,Dial-Up,Married,Me,2,3,2,0,2,Rarely,Rarely,VHS,Rarely,Rarely,879232,Monthly,Weekly,Cable,Own
28,Bachelor's Degree,Male,Dial-Up,Never Married,Spouse/Partner,2,4,1,0,2,Monthly,Never,DVD,Monthly,Monthly,879264,Rarely,Weekly,Cable,Own
25,Bachelor's Degree,Male,Cable Modem,Never Married,Me,1,1,1,0,1,Never,Never,DVD,Monthly,Monthly,879306,Monthly,Daily,Cable,Rent
29,Bachelor's Degree,Male,Cable Modem,Married,Spouse/Partner,2.5,4,2,0,4,Weekly,Rarely,DVD,Monthly,Monthly,879310,Monthly,Monthly,Digital Satellite,Own
31,Bachelor's Degree,Male,DSL,Married,Me,2,4,2,2,3,Rarely,Monthly,DVD,Monthly,Weekly,879403,Rarely,Weekly,Cable,Own
45,Master's Degree,Male,Dial-Up,Married,Me,4,5,2,2,1,Never,Never,VHS,Weekly,Weekly,879453,Rarely,Monthly,Cable,Own
42,Master's Degree,Male,DSL,Married,Me,2.5,4,4,1,2,Never,Rarely,DVD,Monthly,Weekly,879454,Monthly,Daily,Cable,Own
45,Doctorate,Male,IDSN,Married,Me,2,3,2,2,4,Weekly,Rarely,DVD,Never,Monthly,879478,Rarely,Rarely,Digital Satellite,Own
48,Master's Degree,Male,Dial-Up,Married,Me,2.5,4,2,2,2,Never,Rarely,VHS,Weekly,Weekly,879500,Monthly,Rarely,Digital Satellite,Own
33,Bachelor's Degree,Male,DSL,Married,Me,2.5,3,2,2,4,Never,Monthly,DVD,Monthly,Weekly,879535,Monthly,Weekly,Digital Satellite,Own
27,Some College,Male,DSL,Married,Me,2.5,4,2,3,2,Never,Weekly,DVD,Monthly,Weekly,879889,Rarely,Never,Don't watch TV,Rent
35,Bachelor's Degree,Male,Dial-Up,Never Married,Me,2,3,2,0,2,Rarely,Rarely,DVD,Rarely,Rarely,879926,Rarely,Rarely,Digital Satellite,Own
39,Bachelor's Degree,Male,No Internet Connection,Married,Me,3,5,4,3,3,Never,Rarely,VHS,Monthly,Weekly,881801,Monthly,Weekly,Cable,Own
31,Bachelor's Degree,Male,DSL,Never Married,Me,2.5,5,2,0,2,Rarely,Rarely,DVD,Rarely,Monthly,882315,Monthly,Weekly,Digital Satellite,Own
28,Master's Degree,Male,Cable Modem,Married,Me,3,3,2,0,1,Rarely,Never,DVD,Weekly,Daily,882319,Monthly,Rarely,Don't watch TV,Own
30,Master's Degree,Male,Dial-Up,Married,Spouse/Partner,2,2,1,1,1,Never,Never,DVD,Monthly,Monthly,882320,Rarely,Monthly,Cable,Rent
29,Master's Degree,Female,Cable Modem,Married,Me,2.5,3,1,0,2,Never,Never,DVD,Weekly,Weekly,882321,Monthly,Weekly,Cable,Own
42,Bachelor's Degree,Male,Dial-Up,Married,Spouse/Partner,3,5,2,3,1,Never,Rarely,DVD,Weekly,Weekly,882324,Monthly,Never,Don't watch TV,Own
30,Master's Degree,Male,Cable Modem,Divorced,Me,2,4,1,0,4,Rarely,Monthly,DVD,Weekly,Weekly,882325,Monthly,Monthly,Digital Satellite,Own
28,Bachelor's Degree,Male,Dial-Up,Married,Spouse/Partner,2,2,2,0,4,Never,Rarely,DVD,Monthly,Monthly,882326,Monthly,Weekly,Cable,Own
47,Doctorate,Male,DSL,Married,Spouse/Partner,2.5,3,1,0,2,Never,Rarely,DVD,Weekly,Weekly,882328,Rarely,Monthly,Cable,Own
28,Bachelor's Degree,Male,Cable Modem,Married,Me,1.5,4,2,2,3,Never,Monthly,DVD,Weekly,Weekly,882330,Monthly,Rarely,Analog antennae,Own
32,Master's Degree,Male,Cable Modem,Married,Other,2.5,3,2,2,2,Never,Rarely,DVD,Weekly,Weekly,882332,Monthly,Never,Cable,Own
26,Master's Degree,Male,Dial-Up,Married,Spouse/Partner,1,2,1,0,0,Never,Rarely,DVD,Rarely,Monthly,882333,Rarely,Monthly,Don't watch TV,Rent
31,Bachelor's Degree,Male,Dial-Up,Married,Me,2,3,2,0,2,Rarely,Monthly,DVD,Weekly,Weekly,882336,Monthly,Weekly,Cable,Rent
40,Master's Degree,Female,DSL,Married,Other,2,2,1,0,1,Never,Never,Laserdisk,Never,Rarely,882337,Never,Weekly,Cable,Own
27,Bachelor's Degree,Male,Cable Modem,Married,Me,1,2,2,0,2,Rarely,Monthly,DVD,Weekly,Weekly,882340,Monthly,Weekly,Cable,Rent
29,Bachelor's Degree,Male,DSL,Married,Spouse/Partner,2.5,3,2,1,1,Never,Rarely,VHS,Weekly,Weekly,882341,Monthly,Weekly,Cable,Own
31,Some College,Male,DSL,Separated,Me,2,3,2,3,1,Rarely,Rarely,DVD,Monthly,Weekly,882342,Monthly,Weekly,Cable,Own
22,Master's Degree,Male,No Internet Connection,Never Married,Me,1.5,2,1,0,1,Never,Monthly,DVD,Weekly,Weekly,882343,Monthly,Weekly,Cable,Rent
32,Doctorate,Male,DSL,Never Married,Me,2,2,1,0,1,Rarely,Weekly,DVD,Rarely,Weekly,882346,Rarely,Monthly,Digital Satellite,Own
33,Master's Degree,Female,Cable Modem,Married,Spouse/Partner,1.5,4,2,1,1,Rarely,Monthly,DVD,Weekly,Weekly,882348,Monthly,Never,Don't watch TV,Own
37,Master's Degree,Male,DSL,Divorced,Other,2.5,3,1,3,1,Never,Rarely,DVD,Weekly,Weekly,882350,Monthly,Never,Cable,Own
29,Master's Degree,Male,DSL,Married,Me,2,3,2,0,1,Never,Never,DVD,Monthly,Weekly,882351,Monthly,Weekly,Digital Satellite,Own
32,Bachelor's Degree,Male,Cable Modem,Never Married,Spouse/Partner,1,3,1,0,1,Never,Rarely,DVD,Monthly,Monthly,882354,Rarely,Never,Don't watch TV,Own
40,Master's Degree,Male,Dial-Up,Married,Other,2.5,4,2,4,1,Never,Rarely,DVD,Monthly,Weekly,882356,Rarely,Weekly,Cable,Own
41,Master's Degree,Female,DSL,Married,Spouse/Partner,2.5,3,2,0,2,Never,Never,DVD,Monthly,Monthly,882357,Monthly,Rarely,Cable,Own
40,Bachelor's Degree,Female,Dial-Up,Never Married,Me,2.5,2,1,0,2,Monthly,Rarely,DVD,Monthly,Monthly,882358,Monthly,Rarely,Analog antennae,Own
33,Some College,Male,DSL,Married,Spouse/Partner,2.5,4,5,0,3,Rarely,Rarely,DVD,Daily,Daily,882359,Rarely,Rarely,Digital Satellite,Own
23,Master's Degree,Male,Cable Modem,Married,Me,2,2,1,1,1,Rarely,Rarely,DVD,Rarely,Monthly,882360,Rarely,Rarely,Cable,Own
40,Bachelor's Degree,Male,DSL,Married,Me,3.5,5,5,6,4,Never,Monthly,DVD,Monthly,Monthly,882364,Rarely,Never,Cable,Own
30,Doctorate,Male,DSL,Married,Me,1.5,2,1,0,2,Never,Monthly,DVD,Monthly,Weekly,882366,Rarely,Monthly,Cable,Rent
38,Bachelor's Degree,Male,DSL,Married,Me,2.5,5,2,5,3,Never,Monthly,DVD,Weekly,Weekly,882367,Monthly,Weekly,Digital Satellite,Own
38,Some College,Male,Cable Modem,Married,Me,3,5,2,4,4,Rarely,Monthly,DVD,Monthly,Weekly,882368,Rarely,Daily,Cable,Own
33,Master's Degree,Male,Other,Married,Other,3,3,2,0,3,Monthly,Rarely,DVD,Rarely,Rarely,882371,Monthly,Monthly,Analog antennae,Own
33,Master's Degree,Male,DSL,Married,Me,2.5,3,2,1,2,Weekly,Never,DVD,Weekly,Weekly,882372,Monthly,Rarely,Cable,Own
40,Associate's Degree,Male,DSL,Other,Me,1,2,1,0,1,Never,Rarely,DVD,Rarely,Monthly,882375,Monthly,Rarely,Analog antennae,Rent
25,Master's Degree,Male,Dial-Up,Never Married,Me,1,2,1,0,1,Never,Rarely,DVD,Weekly,Weekly,882376,Monthly,Never,Don't watch TV,Rent
33,Master's Degree,Male,Cable Modem,Married,Me,2,2,2,0,1,Never,Monthly,DVD,Weekly,Weekly,882377,Monthly,Monthly,Cable,Rent
41,Master's Degree,Male,DSL,Married,Spouse/Partner,2.5,4,3,2,6,Rarely,Rarely,DVD,Weekly,Weekly,882382,Rarely,Rarely,Cable,Own
45,Doctorate,Male,DSL,Married,Children,3.5,4,2,1,2,Never,Rarely,DVD,Monthly,Monthly,882383,Monthly,Rarely,Cable,Own
33,Master's Degree,Female,DSL,Married,Spouse/Partner,2.5,4,2,1,2,Rarely,Rarely,DVD,Weekly,Weekly,882387,Monthly,Monthly,Cable,Own
30,Some College,Male,No Internet Connection,Divorced,Me,1,1,1,0,1,Rarely,Monthly,DVD,Weekly,Daily,882388,Monthly,Weekly,Cable,Rent
47,Master's Degree,Male,Dial-Up,Divorced,Me,1,2,1,2,1,Never,Never,DVD,Monthly,Monthly,882391,Monthly,Weekly,Cable,Rent
33,Bachelor's Degree,Female,DSL,Married,Me,3,5,2,2,3,Monthly,Never,DVD,Rarely,Rarely,882392,Monthly,Never,Cable,Own
26,Bachelor's Degree,Male,Dial-Up,Married,Me,1,2,1,1,1,Never,Monthly,DVD,Monthly,Monthly,882393,Monthly,Rarely,Cable,Rent
30,Bachelor's Degree,Male,DSL,Married,Me,1.5,2,1,0,2,Never,Rarely,DVD,Weekly,Weekly,882395,Monthly,Rarely,Cable,Rent
28,Bachelor's Degree,Male,DSL,Married,Me,2.5,3,2,0,1,Monthly,Weekly,DVD,Monthly,Daily,882397,Monthly,Never,Digital Satellite,Own
25,Master's Degree,Male,Dial-Up,Never Married,Spouse/Partner,1,2,1,0,0,Rarely,Rarely,DVD,Rarely,Weekly,882398,Rarely,Weekly,Cable,Rent
38,Bachelor's Degree,Male,Cable Modem,Married,Spouse/Partner,3,3,2,2,1,Rarely,Rarely,VHS,Weekly,Weekly,882402,Monthly,Weekly,Cable,Own
26,Bachelor's Degree,Male,DSL,Married,Me,1,1,1,0,1,Never,Monthly,DVD,Monthly,Weekly,882403,Monthly,Rarely,Cable,Rent
32,Bachelor's Degree,Male,Cable Modem,Married,Me,2.5,3,2,0,1,Never,Rarely,DVD,Weekly,Weekly,882407,Monthly,Rarely,Cable,Own
30,Bachelor's Degree,Male,DSL,Never Married,Me,3,3,1,0,2,Monthly,Monthly,DVD,Weekly,Weekly,882409,Monthly,Monthly,Digital Satellite,Own
33,Bachelor's Degree,Male,Dial-Up,Married,Children,3,3,4,2,4,Never,Rarely,DVD,Rarely,Weekly,882410,Rarely,Never,Cable,Own
29,Master's Degree,Male,Cable Modem,Married,Me,2.5,3,2,0,2,Rarely,Rarely,DVD,Monthly,Monthly,882413,Monthly,Weekly,Digital Satellite,Own
48,Doctorate,Male,Dial-Up,Never Married,Me,2,2,1,0,2,Never,Monthly,DVD,Rarely,Weekly,882414,Rarely,Monthly,Cable,Rent
31,Bachelor's Degree,Male,Cable Modem,Married,Spouse/Partner,1.5,2,2,1,2,Never,Rarely,VHS,Monthly,Monthly,882415,Rarely,Rarely,Analog antennae,Own
30,Master's Degree,Female,DSL,Married,Spouse/Partner,2.5,3,2,1,1,Never,Never,DVD,Monthly,Monthly,882419,Rarely,Monthly,Cable,Own
40,Bachelor's Degree,Male,Cable Modem,Married,Me,2.5,3,4,2,2,Monthly,Monthly,DVD,Rarely,Monthly,882423,Rarely,Monthly,Digital Satellite,Own
31,Master's Degree,Male,Cable Modem,Never Married,Me,2.5,3,1,0,1,Never,Weekly,DVD,Never,Weekly,882424,Monthly,Never,Don't watch TV,Own
39,Master's Degree,Male,DSL,Married,Me,2,2,1,0,1,Never,Rarely,DVD,Weekly,Weekly,882425,Rarely,Weekly,Cable,Rent
33,Master's Degree,Male,Dial-Up,Married,Me,2.5,2,1,2,1,Rarely,Rarely,DVD,Rarely,Weekly,882426,Rarely,Daily,Cable,Own
30,Master's Degree,Male,Cable Modem,Married,Me,2.5,4,1,0,2,Never,Weekly,DVD,Never,Weekly,882429,Monthly,Weekly,Cable,Own
40,Master's Degree,Male,Cable Modem,Married,Spouse/Partner,4.5,6,3,2,3,Rarely,Monthly,DVD,Monthly,Weekly,882433,Monthly,Monthly,Digital Satellite,Own
31,Bachelor's Degree,Male,DSL,Married,Me,2,2,1,0,2,Rarely,Monthly,DVD,Monthly,Weekly,882434,Weekly,Rarely,Cable,Own
39,Post-Doc,Male,Cable Modem,Married,Me,3,5,2,2,1,Never,Monthly,DVD,Weekly,Weekly,882435,Monthly,Never,Don't watch TV,Own
27,Bachelor's Degree,Male,Cable Modem,Married,Me,1,2,1,0,2,Never,Never,VHS,Rarely,Monthly,882437,Rarely,Weekly,Cable,Rent
38,Bachelor's Degree,Female,Cable Modem,Married,Me,2,3,5,1,4,Rarely,Rarely,VHS,Monthly,Monthly,882439,Rarely,Monthly,Cable,Rent
27,Bachelor's Degree,Female,Dial-Up,Married,Spouse/Partner,2.5,3,2,0,2,Never,Rarely,DVD,Monthly,Monthly,882440,Rarely,Monthly,Cable,Own
30,Doctorate,Male,Cable Modem,Married,Me,3,4,2,1,1,Never,Never,DVD,Weekly,Weekly,882442,Rarely,Never,Cable,Own
33,Bachelor's Degree,Male,Cable Modem,Married,Me,3,4,2,0,2,Monthly,Monthly,DVD,Rarely,Monthly,882444,Monthly,Rarely,Cable,Own
41,Master's Degree,Male,Dial-Up,Married,Me,2,3,3,0,5,Weekly,Monthly,Betamax,Rarely,Daily,882446,Monthly,Rarely,Digital Satellite,Own
43,Master's Degree,Male,Cable Modem,Married,Me,2.5,5,2,2,0,Never,Rarely,VHS,Never,Daily,882449,Rarely,Rarely,Don't watch TV,Own
23,Bachelor's Degree,Male,Cable Modem,Never Married,Me,1,1,1,0,2,Never,Monthly,DVD,Weekly,Weekly,882451,Weekly,Monthly,Cable,Rent
24,Trade School,Male,Cable Modem,Never Married,Me,1,2,1,0,1,Rarely,Monthly,DVD,Never,Weekly,882452,Rarely,Weekly,Cable,Rent
31,Master's Degree,Male,DSL,Never Married,Spouse/Partner,2,4,1,0,1,Never,Rarely,DVD,Weekly,Weekly,882457,Weekly,Rarely,Cable,Own
31,Bachelor's Degree,Male,Dial-Up,Married,Children,2.5,3,2,2,2,Never,Rarely,VHS,Weekly,Weekly,882459,Monthly,Rarely,Cable,Own
30,Bachelor's Degree,Female,DSL,Never Married,Me,1,3,1,0,2,Never,Rarely,DVD,Monthly,Monthly,882462,Rarely,Rarely,Cable,Own
22,Bachelor's Degree,Male,DSL,Never Married,Me,1,1,1,0,1,Never,Never,DVD,Weekly,Weekly,882463,Weekly,Weekly,Cable,Rent
33,Associate's Degree,Male,Dial-Up,Never Married,Me,1,1,1,0,1,Never,Monthly,DVD,Never,Weekly,882464,Never,Rarely,Cable,Rent
24,Bachelor's Degree,Male,DSL,Never Married,Me,1,1,0,0,1,Rarely,Monthly,VHS,Monthly,Daily,882465,Monthly,Never,Don't watch TV,Rent
39,Master's Degree,Male,Cable Modem,Married,Other,2.5,4,1,0,1,Never,Rarely,DVD,Monthly,Weekly,882467,Monthly,Rarely,Cable,Own
52,Master's Degree,Male,Dial-Up,Married,Spouse/Partner,2.5,4,3,3,2,Rarely,Rarely,VHS,Monthly,Monthly,882469,Rarely,Weekly,Cable,Own
31,Bachelor's Degree,Male,Cable Modem,Married,Me,2.5,3,4,0,2,Rarely,Weekly,DVD,Weekly,Weekly,882471,Monthly,Rarely,Cable,Own
33,Master's Degree,Female,DSL,Married,Me,2,2,2,0,1,Monthly,Rarely,DVD,Rarely,Weekly,882475,Rarely,Weekly,Digital Satellite,Own
29,Bachelor's Degree,Male,Cable Modem,Married,Me,2.5,4,2,0,1,Rarely,Monthly,DVD,Weekly,Weekly,882476,Monthly,Rarely,Analog antennae,Own
31,Master's Degree,Male,Cable Modem,Married,Me,2.5,4,2,1,1,Rarely,Rarely,VHS,Weekly,Weekly,882478,Rarely,Monthly,Cable,Own
35,Bachelor's Degree,Male,DSL,Married,Me,2,4,2,2,4,Rarely,Monthly,DVD,Rarely,Monthly,882479,Rarely,Monthly,Cable,Own
28,Bachelor's Degree,Male,DSL,Married,Spouse/Partner,3,3,2,0,1,Never,Rarely,DVD,Monthly,Monthly,882481,Rarely,Weekly,Digital Satellite,Own
32,Master's Degree,Male,DSL,Married,Spouse/Partner,2.5,4,2,0,3,Never,Rarely,VHS,Monthly,Weekly,882482,Monthly,Weekly,Digital Satellite,Own
36,Master's Degree,Male,Cable Modem,Married,Spouse/Partner,1.5,4,2,2,1,Never,Monthly,DVD,Monthly,Weekly,882483,Monthly,Weekly,Cable,Own
27,Bachelor's Degree,Male,DSL,Married,Me,2,2,1,0,1,Never,Rarely,DVD,Weekly,Weekly,882484,Weekly,Weekly,Cable,Own
21,Some College,Male,Cable Modem,Never Married,Me,1,1,1,0,1,Rarely,Monthly,DVD,Weekly,Daily,882491,Weekly,Rarely,Cable,Rent
25,Bachelor's Degree,Male,DSL,Never Married,Me,1.5,1,1,0,2,Weekly,Monthly,DVD,Monthly,Monthly,882494,Weekly,Weekly,Cable,Rent
27,Master's Degree,Male,Cable Modem,Married,Me,1.5,3,2,2,2,Rarely,Monthly,DVD,Monthly,Weekly,882497,Monthly,Daily,Cable,Rent
38,Bachelor's Degree,Male,DSL,Never Married,Me,2,2,1,0,2,Monthly,Monthly,DVD,Monthly,Weekly,882500,Monthly,Weekly,Cable,Own
33,Master's Degree,Male,No Internet Connection,Divorced,Me,1,1,1,0,1,Never,Rarely,DVD,Monthly,Weekly,882501,Weekly,Weekly,Cable,Rent
27,Bachelor's Degree,Male,Cable Modem,Married,Me,2.5,4,3,0,3,Rarely,Monthly,DVD,Monthly,Weekly,882503,Monthly,Weekly,Cable,Own
28,Master's Degree,Male,IDSN,Married,Spouse/Partner,1,1,1,0,1,Never,Rarely,VHS,Weekly,Weekly,882504,Monthly,Daily,Cable,Rent
40,Bachelor's Degree,Male,DSL,Divorced,Me,1,1,1,2,1,Rarely,Monthly,DVD,Rarely,Weekly,882506,Weekly,Daily,Digital Satellite,Rent
51,Trade School,Male,Dial-Up,Married,Me,3,5,3,2,4,Never,Weekly,DVD,Never,Weekly,882507,Rarely,Weekly,Digital Satellite,Own
29,Associate's Degree,Male,Cable Modem,Married,Me,2.5,3,2,1,3,Never,Rarely,DVD,Monthly,Weekly,882508,Rarely,Daily,Cable,Own
28,Some College,Male,DSL,Married,Spouse/Partner,2,4,3,3,4,Never,Rarely,DVD,Monthly,Monthly,882512,Rarely,Never,Cable,Own
36,Master's Degree,Male,Dial-Up,Married,Me,2.5,5,2,1,2,Never,Rarely,DVD,Rarely,Monthly,882515,Rarely,Weekly,Cable,Own
37,Master's Degree,Female,DSL,Married,Spouse/Partner,3,4,2,2,2,Never,Rarely,DVD,Weekly,Weekly,882518,Monthly,Weekly,Cable,Own
33,Doctorate,Male,Dial-Up,Married,Me,4,4,2,0,2,Never,Rarely,DVD,Monthly,Monthly,882521,Monthly,Monthly,Cable,Own
38,Bachelor's Degree,Male,Cable Modem,Married,Me,5,6,2,4,5,Rarely,Rarely,DVD,Monthly,Monthly,882522,Rarely,Monthly,Cable,Own
27,Bachelor's Degree,Male,Cable Modem,Never Married,Me,3,2,1,0,1,Never,Monthly,DVD,Weekly,Weekly,882523,Monthly,Weekly,Cable,Own
30,Master's Degree,Male,Dial-Up,Never Married,Me,1,1,1,0,1,Rarely,Rarely,DVD,Monthly,Weekly,882527,Monthly,Rarely,Cable,Rent
28,Bachelor's Degree,Male,DSL,Never Married,Me,2.5,2,1,0,2,Rarely,Rarely,DVD,Rarely,Rarely,882531,Rarely,Monthly,Digital Satellite,Own
28,Some College,Male,Cable Modem,Married,Spouse/Partner,2.5,4,2,1,2,Rarely,Monthly,DVD,Never,Monthly,882532,Never,Weekly,Cable,Own
25,Bachelor's Degree,Male,Cable Modem,Married,Spouse/Partner,2.5,3,2,0,3,Never,Monthly,DVD,Monthly,Monthly,882535,Rarely,Weekly,Cable,Own
27,Bachelor's Degree,Female,DSL,Married,Me,1.5,2,2,0,3,Monthly,Monthly,DVD,Rarely,Weekly,882537,Monthly,Daily,Cable,Rent
38,Bachelor's Degree,Male,Dial-Up,Married,Spouse/Partner,2.5,5,2,3,4,Rarely,Never,VHS,Weekly,Weekly,882543,Monthly,Monthly,Cable,Own
32,Master's Degree,Male,DSL,Married,Me,2.5,4,2,1,2,Rarely,Monthly,DVD,Weekly,Weekly,882545,Weekly,Rarely,Cable,Own
44,Master's Degree,Male,Cable Modem,Married,Other,3,3,2,0,1,Monthly,Rarely,DVD,Weekly,Weekly,882550,Monthly,Weekly,Cable,Own
24,Master's Degree,Female,Cable Modem,Married,Me,2.5,4,2,0,3,Never,Rarely,DVD,Weekly,Weekly,882551,Monthly,Weekly,Analog antennae,Own
31,Bachelor's Degree,Male,Dial-Up,Married,Me,2.5,4,2,0,3,Weekly,Monthly,DVD,Monthly,Weekly,882553,Rarely,Rarely,Digital Satellite,Own
32,Bachelor's Degree,Male,Cable Modem,Married,Spouse/Partner,3,5,2,0,3,Never,Monthly,DVD,Monthly,Weekly,882559,Monthly,Weekly,Analog antennae,Own
23,High School,Male,DSL,Never Married,Me,1,1,1,0,1,Never,Monthly,DVD,Monthly,Weekly,882560,Weekly,Weekly,Digital Satellite,Rent
45,Associate's Degree,Female,Dial-Up,Married,Me,1,1,2,0,3,Never,Never,VHS,Rarely,Monthly,882563,Monthly,Never,Analog antennae,Own
36,Bachelor's Degree,Male,Cable Modem,Married,Me,2.5,4,2,3,4,Rarely,Rarely,DVD,Monthly,Weekly,882564,Rarely,Weekly,Cable,Own
24,Bachelor's Degree,Female,Dial-Up,Married,Spouse/Partner,1,2,2,0,1,Never,Rarely,DVD,Rarely,Monthly,882565,Rarely,Rarely,Analog antennae,Own
31,Bachelor's Degree,Male,DSL,Married,Spouse/Partner,1,2,2,0,1,Never,Rarely,DVD,Monthly,Monthly,882569,Weekly,Weekly,Cable,Own
24,Master's Degree,Female,DSL,Never Married,Me,2.5,3,1,0,1,Never,Monthly,DVD,Rarely,Weekly,882573,Monthly,Weekly,Cable,Own
24,Bachelor's Degree,Female,No Internet Connection,Never Married,Me,1,1,1,0,1,Rarely,Monthly,DVD,Weekly,Weekly,882574,Monthly,Daily,Cable,Rent
25,Bachelor's Degree,Male,DSL,Married,Me,2,2,1,0,1,Never,Never,VHS,Weekly,Weekly,882576,Rarely,Monthly,Cable,Rent
36,Bachelor's Degree,Male,Dial-Up,Married,Me,3,4,2,0,2,Monthly,Never,DVD,Monthly,Weekly,882577,Rarely,Rarely,Digital Satellite,Own
48,Bachelor's Degree,Female,Dial-Up,Married,Children,4,4,3,2,5,Never,Monthly,DVD,Weekly,Weekly,882578,Rarely,Rarely,Analog antennae,Own
22,Bachelor's Degree,Male,DSL,Never Married,Spouse/Partner,1.5,2,0,0,1,Never,Monthly,DVD,Rarely,Weekly,882581,Rarely,Rarely,Cable,Rent
37,Some College,Male,Cable Modem,Never Married,Me,2.5,3,1,1,2,Rarely,Never,DVD,Never,Monthly,882583,Rarely,Rarely,Digital Satellite,Own
55,Master's Degree,Male,DSL,Separated,Spouse/Partner,2.5,4,2,0,1,Rarely,Monthly,DVD,Never,Rarely,882585,Monthly,Rarely,Digital Satellite,Own
36,Bachelor's Degree,Female,Dial-Up,Married,Children,2,3,3,2,5,Never,Rarely,VHS,Monthly,Monthly,882587,Rarely,Never,Analog antennae,Own
28,Master's Degree,Male,DSL,Married,Me,1,2,1,0,1,Never,Rarely,DVD,Rarely,Rarely,882590,Monthly,Rarely,Cable,Rent
